##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	HG2-24_S4_R2_001.complete.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6447734
Sequences flagged as poor quality	0
Sequence length	35-40
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.174591414596197	32.0	32.0	33.0	18.0	34.0
2	30.326970529491447	32.0	32.0	33.0	18.0	34.0
3	30.362590330184215	32.0	32.0	33.0	18.0	34.0
4	30.61275170470742	32.0	32.0	33.0	18.0	34.0
5	30.4380340442084	32.0	32.0	33.0	18.0	34.0
6	33.187931294932454	37.0	33.0	37.0	20.0	37.0
7	33.21350772224785	37.0	33.0	37.0	20.0	37.0
8	33.079151373180096	37.0	33.0	37.0	19.0	37.0
9	33.1693591888251	37.0	33.0	37.0	29.0	37.0
10	33.05284662797814	37.0	33.0	37.0	19.0	37.0
11	33.029385052174916	35.0	33.0	37.0	29.0	37.0
12	32.932978469645306	35.0	33.0	37.0	19.0	37.0
13	34.8113161926345	38.0	36.0	38.0	29.0	38.0
14	34.731927371693686	38.0	36.0	38.0	19.0	38.0
15	34.76432650602522	38.0	36.0	38.0	20.0	38.0
16	34.64194909405382	38.0	36.0	38.0	19.0	38.0
17	34.60281999846768	38.0	36.0	38.0	18.0	38.0
18	34.61214839197771	38.0	36.0	38.0	19.0	38.0
19	34.63149038096174	38.0	36.0	38.0	19.0	38.0
20	34.64689160564006	38.0	36.0	38.0	19.0	38.0
21	34.66257122269622	38.0	36.0	38.0	19.0	38.0
22	34.66148882692741	38.0	36.0	38.0	19.0	38.0
23	35.059609003721306	38.0	36.0	39.0	19.0	39.0
24	35.02759450064162	38.0	36.0	39.0	19.0	39.0
25	34.955127956581336	38.0	36.0	39.0	18.0	39.0
26	34.9357385090638	38.0	36.0	39.0	19.0	39.0
27	34.97037269217372	38.0	36.0	39.0	19.0	39.0
28	34.96057467631264	38.0	36.0	39.0	19.0	39.0
29	34.95147597590099	38.0	36.0	39.0	18.0	39.0
30	34.88748698379927	38.0	36.0	39.0	18.0	39.0
31	34.93926858645223	38.0	36.0	39.0	18.0	39.0
32	34.914756098809285	38.0	36.0	39.0	18.0	39.0
33	34.877868565917886	38.0	36.0	39.0	18.0	39.0
34	34.87172066961819	38.0	36.0	39.0	18.0	39.0
35	34.79717727189118	38.0	36.0	39.0	18.0	39.0
36	35.40672405479059	38.0	36.0	39.0	30.0	39.0
37	35.35930989927111	38.0	36.0	39.0	29.0	39.0
38	35.32470363849861	38.0	36.0	39.0	29.0	39.0
39	35.287838327835146	38.0	36.0	39.0	29.0	39.0
40	34.94295135681058	38.0	36.0	39.0	18.0	39.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.18815581918168078
1101	2	-0.09376351249514414
1101	3	-0.11895207552250397
1101	4	-0.06728924254573343
1101	5	-0.13537788372229898
1101	6	-0.12847408707860808
1101	7	-0.08397589395683269
1101	8	-0.04054675322540646
1101	9	-0.05572445846814844
1101	10	0.025121616208267028
1101	11	-0.03256830354165885
1101	12	-0.004861474645608155
1101	13	-0.0626217527030164
1101	14	-0.11658388278663523
1101	15	-0.12673190532600387
1101	16	0.018097961792754802
1101	17	-0.35611931309360045
1101	18	-0.012775386789677157
1101	19	-0.1191676803448587
1101	20	-0.05060815502993421
1101	21	-0.08125894023661573
1101	22	-0.06300265223225665
1101	23	-0.051219244623460725
1101	24	-0.1319788048007453
1101	25	-0.031739383300553925
1101	26	-0.05243047824796321
1101	27	-0.03351220296902824
1101	28	-0.2755544656007345
1101	29	-0.10183344993637178
1101	30	-0.014943836825658252
1101	31	-0.1280886872905782
1101	32	-0.030963594285154272
1101	33	-0.011322713576113586
1101	34	-0.14942927406335826
1101	35	-0.07917083024738503
1101	36	-0.06981589556661305
1101	37	0.04429393231659162
1101	38	-0.019382609613437296
1101	39	0.034713408730198125
1101	40	-0.18665369707927226
1102	1	-0.1981499761059098
1102	2	-0.15760107874358908
1102	3	-0.23004663079595034
1102	4	-0.18673740141168338
1102	5	-0.2126631877472427
1102	6	-0.23107846043249225
1102	7	-0.11075847990918675
1102	8	-0.19984714708446205
1102	9	-0.07338016124204216
1102	10	-0.14161701818994743
1102	11	-0.10978108052061941
1102	12	-0.10740154639587018
1102	13	-0.15484816991387618
1102	14	-0.04091345056486517
1102	15	-0.08185063565564121
1102	16	-0.12410263308312608
1102	17	-0.28982645230038884
1102	18	-0.02335479782296801
1102	19	-0.13795438535468207
1102	20	-0.1279363443914292
1102	21	-0.14928403303783
1102	22	-0.11846791892315878
1102	23	-0.10521070995452675
1102	24	-0.19917135806488773
1102	25	-0.305651960655112
1102	26	-0.21510336801131302
1102	27	-0.04173760621713285
1102	28	-0.33115096779688713
1102	29	-0.1931566584268083
1102	30	-0.14202738674666193
1102	31	-0.10458950197312333
1102	32	-0.15836520637798657
1102	33	-0.11739796546121539
1102	34	-0.264443356271002
1102	35	-0.09095079407108386
1102	36	-0.0484586331749739
1102	37	-0.06641396162641655
1102	38	-0.043157949022031517
1102	39	-0.08432463206322893
1102	40	-0.18821616219155857
1103	1	-0.2501040501188072
1103	2	-0.14804268536166632
1103	3	-0.16358161727211495
1103	4	-0.24339126688908053
1103	5	-0.12013106433276732
1103	6	-0.18113523990103175
1103	7	-0.2837216455194138
1103	8	-0.2839287649896107
1103	9	-0.18943498612039633
1103	10	-0.14534897780426093
1103	11	-0.1494491098945332
1103	12	-0.12519365095268142
1103	13	-0.20028826241279063
1103	14	0.003673917551914485
1103	15	-0.1424028417960841
1103	16	-0.1267034768604418
1103	17	-0.426898111430873
1103	18	-0.02080350703638345
1103	19	-0.163636255154195
1103	20	-0.18012510687431416
1103	21	-0.26816303426977584
1103	22	2.4421942654839768E-6
1103	23	-0.17446325126589812
1103	24	-0.1363417790588386
1103	25	-0.38083692407536773
1103	26	-0.14752857396593555
1103	27	-0.29398469669951766
1103	28	-0.4423833231468919
1103	29	-0.35013124187197775
1103	30	-0.10169658612174004
1103	31	-0.2633578004473023
1103	32	-0.11236919126432099
1103	33	-0.1507295782045901
1103	34	-0.1599870282852578
1103	35	-0.10806808324719697
1103	36	-0.16592927716212813
1103	37	-0.09057991819802425
1103	38	-0.137407601130775
1103	39	-0.196354523843965
1103	40	-0.13769137359998496
1104	1	-0.2802789600881326
1104	2	-0.1716086324471
1104	3	-0.2374030412392898
1104	4	-0.21383420208347204
1104	5	-0.18165725780127318
1104	6	-0.22913228962407572
1104	7	-0.2866737803371464
1104	8	-0.20763773744820213
